Territorialidade,Posição IDHM no Brasil,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,
Sertão Santana (RS),2199,0.689,665,0.737,3300,0.534,1560,0.832,
Muliterno (RS),2199,0.689,596,0.74,3053,0.547,2754,0.808,
Butiá (RS),2199,0.689,1858,0.691,2816,0.558,792,0.848,
Tiradentes do Sul (RS),2199,0.689,1424,0.705,2578,0.569,2407,0.815,
Mangueirinha (PR),2224,0.695,1741,0.695,2352,0.579,2611,0.811,
Nova Fátima (PR),2224,0.695,2119,0.681,2266,0.584,2216,0.819,
Porto Barreiro (PR),2224,0.695,2266,0.676,2185,0.588,2112,0.821,
Querência do Norte (PR),2224,0.693,2490,0.667,1880,0.604,2754,0.808,
Jundiaí do Sul (PR),2224,0.694,2647,0.660,1857,0.605,2307,0.817,
Anita Garibaldi (SC),2224,0.695,2490,0.667,2111,0.592,1846,0.826,
Rolante (RS),2224,0.688,1346,0.708,2924,0.553,1647,0.83,
Roque Gonzales (RS),2224,0.688,1967,0.687,2707,0.563,1032,0.843,
Novo Cabrais (RS),2224,0.688,1678,0.697,3029,0.548,643,0.852,
Rio Azul (PR),2251,0.697,848,0.728,3122,0.544,2216,0.819,
Faxinal (PR),2251,0.692,1678,0.697,2266,0.584,3292,0.796,
Wenceslau Braz (PR),2251,0.692,1817,0.692,2065,0.594,3511,0.790,
Santa Lúcia (PR),2251,0.692,1939,0.688,2111,0.592,3329,0.795,
Antonina (PR),2251,0.696,1996,0.686,2690,0.564,1281,0.838,
Abatiá (PR),2251,0.692,2266,0.676,2035,0.596,2940,0.804,
Jataizinho (PR),2251,0.696,2448,0.669,2475,0.574,943,0.845,
Santana do Itararé (PR),2251,0.696,2767,0.654,2245,0.585,792,0.848,
São Joaquim (SC),2251,0.695,1424,0.705,2729,0.562,2307,0.817,
Angelina (SC),2251,0.692,1605,0.699,2322,0.581,3252,0.797,
Herval (RS),2251,0.687,817,0.73,3434,0.527,1032,0.843,
Planalto (RS),2251,0.687,2318,0.674,2014,0.597,2805,0.807,
Marques de Souza (RS),2251,0.687,548,0.743,3696,0.515,759,0.849,
São Lourenço do Sul (RS),2251,0.687,989,0.722,3419,0.528,759,0.849,
Aceguá (RS),2251,0.687,1473,0.703,3183,0.541,643,0.852,
Trindade do Sul (RS),2251,0.687,2295,0.675,1766,0.61,3594,0.787,
Salto do Jacuí (RS),2251,0.687,1797,0.693,2816,0.558,1315,0.837,
Morretes (PR),2282,0.697,1293,0.710,3122,0.544,1315,0.837,
Bom Sucesso (PR),2282,0.694,1817,0.692,2557,0.570,2161,0.820,
Campo do Tenente (PR),2282,0.691,2626,0.661,1835,0.606,2849,0.806,
Leoberto Leal (SC),2282,0.697,596,0.740,3328,0.533,2259,0.818,
Vargeão (SC),2282,0.695,1346,0.708,2967,0.551,1798,0.827,
Santo Antônio das Missões (RS),2282,0.686,2375,0.672,2427,0.576,1419,0.835,
General Câmara (RS),2282,0.686,1449,0.704,2953,0.552,1560,0.832,
Jóia (RS),2282,0.686,2405,0.671,2509,0.572,1128,0.841,
Porto Vitória (PR),2309,0.690,2318,0.674,1957,0.600,3292,0.796,
Ibema (PR),2309,0.688,2562,0.664,1687,0.615,3629,0.786,
Gramado dos Loureiros (RS),2309,0.685,2613,0.662,2266,0.584,1560,0.832,
São Vicente do Sul (RS),2309,0.685,1649,0.698,2924,0.553,1603,0.831,
São Francisco de Paula (RS),2309,0.685,1547,0.701,3300,0.534,425,0.86,
Liberato Salzano (RS),2309,0.685,2149,0.68,2293,0.583,2661,0.81,
Erval Seco (RS),2309,0.685,2513,0.666,2174,0.589,2112,0.821,
Maçambará (RS),2332,0.684,2562,0.664,2338,0.58,1560,0.832,
São Pedro do Iguaçu (PR),2359,0.689,1967,0.687,2322,0.581,3214,0.798,
Honório Serpa (PR),2359,0.688,2924,0.645,1727,0.612,2805,0.807,
Toropi (RS),2359,0.683,2149,0.68,2578,0.569,2064,0.822,
Forquetinha (RS),2359,0.683,548,0.743,4259,0.484,22,0.886,
Sete de Setembro (RS),2359,0.683,2090,0.682,2399,0.577,2661,0.81,
Progresso (RS),2359,0.683,1424,0.705,3480,0.525,390,0.861,
Restinga Seca (RS),2359,0.683,1318,0.709,3163,0.542,1747,0.828,
Paverama (RS),2359,0.683,1547,0.701,3183,0.541,1183,0.84,
São Carlos do Ivaí (PR),2386,0.692,1473,0.703,3053,0.547,1905,0.825,
Flor da Serra do Sul (PR),2386,0.691,2149,0.680,2776,0.560,1515,0.833,
Jardim Olinda (PR),2386,0.687,2448,0.669,1957,0.600,3475,0.791,
Santa Terezinha do Progresso (SC),2386,0.687,1996,0.686,2245,0.585,3475,0.791,
Frei Rogério (SC),2386,0.688,2562,0.664,2185,0.588,2562,0.812,
Formigueiro (RS),2386,0.682,1890,0.69,3011,0.549,1281,0.838,
Ametista do Sul (RS),2386,0.682,1678,0.697,2729,0.562,2696,0.809,
Maquiné (RS),2386,0.682,1741,0.695,3618,0.519,83,0.88,
Contenda (PR),2412,0.689,1678,0.697,2888,0.555,2357,0.816,
Quedas do Iguaçu (PR),2412,0.687,1890,0.690,2427,0.576,3362,0.794,
Campo Bonito (PR),2412,0.688,1890,0.690,2729,0.562,2504,0.813,
Três Barras do Paraná (PR),2412,0.690,2061,0.683,2844,0.557,1603,0.831,
Brasilândia do Sul (PR),2412,0.688,2149,0.680,2509,0.572,2504,0.813,
Bela Vista da Caroba (PR),2412,0.689,2490,0.667,2509,0.572,1747,0.828,
Roncador (PR),2412,0.686,2535,0.665,2045,0.595,3252,0.797,
Marilena (PR),2412,0.688,2822,0.651,2245,0.585,1747,0.828,
Itatiba do Sul (RS),2412,0.681,1707,0.696,2633,0.567,3077,0.801,
Minas do Leão (RS),2412,0.681,548,0.743,3716,0.514,1846,0.826,
Erval Grande (RS),2412,0.681,1217,0.713,3961,0.501,40,0.885,
Nova Santa Bárbara (PR),2439,0.685,2466,0.668,2185,0.588,3167,0.799,
Lidianópolis (PR),2439,0.686,2709,0.657,1995,0.598,3026,0.802,
Mirador (PR),2439,0.685,2732,0.656,1977,0.599,3129,0.800,
Quitandinha (PR),2439,0.686,2871,0.648,1904,0.603,2849,0.806,
Esmeralda (RS),2439,0.68,2448,0.669,2578,0.569,1798,0.827,
Entre-Ijuís (RS),2439,0.68,1817,0.692,3029,0.548,1704,0.829,
Rio Branco do Sul (PR),2462,0.690,2182,0.679,3100,0.545,846,0.847,
Araricá (RS),2462,0.679,1707,0.696,3053,0.547,1951,0.824,
Estrela Velha (RS),2462,0.679,1372,0.707,2776,0.56,3428,0.792,
Catanduvas (PR),2481,0.685,2230,0.677,2490,0.573,2899,0.805,
Alto Paraíso (PR),2481,0.687,2230,0.677,2866,0.556,1704,0.829,
Pedro Osório (RS),2481,0.678,2061,0.683,2967,0.551,1704,0.829,
Pinhal Grande (RS),2481,0.678,2375,0.672,2399,0.577,2940,0.804,
Sagrada Família (RS),2481,0.678,2448,0.669,2035,0.596,3704,0.782,
Guaraniaçu (PR),2503,0.689,1649,0.698,3419,0.528,1128,0.841,
Figueira (PR),2503,0.683,2149,0.680,2578,0.569,3077,0.801,
São Bernardino (SC),2503,0.684,2789,0.653,2399,0.577,2064,0.822,
São Jorge do Patrocínio (PR),2524,0.685,1516,0.702,3137,0.543,2661,0.810,
Alto Piquiri (PR),2524,0.682,2448,0.669,2377,0.578,3214,0.798,
Prudentópolis (PR),2524,0.683,2562,0.664,2399,0.577,2805,0.807,
Arapuã (PR),2524,0.683,3048,0.638,2266,0.584,1747,0.828,
Santa Maria do Herval (RS),2524,0.676,1136,0.716,3792,0.51,901,0.846,
Paraíso do Sul (RS),2524,0.676,1817,0.692,3249,0.537,1603,0.831,
Novo Tiradentes (RS),2524,0.676,2182,0.679,2654,0.566,2899,0.805,
Boa Vista das Missões (RS),2524,0.676,2513,0.666,2757,0.561,1905,0.825,
Moreira Sales (PR),2545,0.682,2343,0.673,2557,0.570,3026,0.802,
Godoy Moreira (PR),2545,0.683,2984,0.642,2377,0.578,1747,0.828,
Monte Castelo (SC),2545,0.683,3000,0.641,2322,0.581,1846,0.826,
Bela Vista do Toldo (SC),2545,0.683,3261,0.624,1995,0.598,1846,0.826,
São Francisco de Assis (RS),2545,0.675,2119,0.681,2953,0.552,2259,0.818,
Anitápolis (SC),2573,0.686,1605,0.699,3502,0.524,1370,0.836,
Cerro Grande (RS),2573,0.674,2266,0.676,2707,0.563,2990,0.803,
Candelária (RS),2573,0.674,1605,0.699,3571,0.521,1075,0.842,
Braga (RS),2573,0.674,2732,0.656,2707,0.563,1647,0.83,
Vitor Meireles (SC),2598,0.686,1768,0.694,3549,0.522,1128,0.841,
Ponte Alta (SC),2598,0.679,2513,0.666,2600,0.568,2940,0.804,
Inhacorá (RS),2598,0.673,2883,0.647,2245,0.585,2805,0.807,
Turvo (PR),2621,0.682,2466,0.668,3011,0.549,1747,0.828,
Rebouças (PR),2621,0.679,2883,0.647,2427,0.576,2453,0.814,
Bandeirante (SC),2621,0.678,2295,0.675,2671,0.565,3329,0.795,
Capão do Cipó (RS),2621,0.672,3034,0.639,2953,0.552,425,0.86,
Alecrim (RS),2621,0.672,2061,0.683,3549,0.522,643,0.852,
Santo Antônio do Sudoeste (PR),2642,0.680,1890,0.690,3137,0.543,2805,0.807,
Teixeira Soares (PR),2642,0.681,2266,0.676,3122,0.544,2064,0.822,
São José da Boa Vista (PR),2642,0.675,2822,0.651,2065,0.594,3726,0.781,
Palmeira (SC),2642,0.680,2747,0.655,2844,0.557,1798,0.827,
Sentinela do Sul (RS),2642,0.671,2405,0.671,3100,0.545,1846,0.826,
Garruchos (RS),2642,0.671,2709,0.657,2924,0.553,1515,0.833,
Alpestre (RS),2642,0.671,1576,0.7,3137,0.543,3329,0.795,
Boa Vista da Aparecida (PR),2663,0.677,2466,0.668,2707,0.563,3077,0.801,
Ariranha do Ivaí (PR),2663,0.675,3068,0.637,2065,0.594,3362,0.794,
Barra do Ribeiro (RS),2663,0.67,1858,0.691,3402,0.529,2064,0.822,
Dois Irmãos das Missões (RS),2663,0.67,2908,0.646,2245,0.585,3252,0.797,
Lagoa Bonita do Sul (RS),2663,0.67,1707,0.696,3223,0.539,3077,0.801,
Francisco Alves (PR),2691,0.675,2448,0.669,2557,0.570,3629,0.786,
Guamiranga (PR),2691,0.676,2709,0.657,2600,0.568,2940,0.804,
Amaporã (PR),2691,0.673,2952,0.644,2133,0.591,3649,0.785,
Santa Terezinha (SC),2691,0.676,3068,0.637,2457,0.575,2307,0.817,
Itati (RS),2691,0.669,1817,0.692,3502,0.524,1798,0.827,
Pirapó (RS),2691,0.669,2732,0.656,2924,0.553,1951,0.824,
Arroio do Padre (RS),2691,0.669,321,0.756,4672,0.461,425,0.86,
Centenário do Sul (PR),2716,0.675,1996,0.686,3011,0.549,3475,0.791,
Luiziana (PR),2716,0.673,2667,0.659,2338,0.580,3726,0.781,
Congonhinhas (PR),2716,0.675,2747,0.655,2729,0.562,2696,0.809,
Alfredo Wagner (SC),2716,0.688,1516,0.702,4306,0.481,70,0.882,
Altamira do Paraná (PR),2738,0.673,2490,0.667,2531,0.571,3751,0.780,
Bituruna (PR),2738,0.677,2924,0.645,2866,0.556,1704,0.829,
Adrianópolis (PR),2738,0.675,2952,0.644,2707,0.563,2307,0.817,
Imaruí (SC),2738,0.678,2428,0.670,3388,0.530,1464,0.834,
São Miguel das Missões (RS),2738,0.667,2318,0.674,3249,0.537,2112,0.821,
Icaraíma (PR),2759,0.673,2343,0.673,2908,0.554,3428,0.792,
Lindoeste (PR),2759,0.670,2807,0.652,2185,0.588,4168,0.769,
Cruzmaltina (PR),2759,0.670,2842,0.650,2084,0.593,4204,0.768,
Bom Jesus (RS),2759,0.666,1678,0.697,3792,0.51,1560,0.832,
Faxinalzinho (RS),2759,0.666,2908,0.646,2531,0.571,3077,0.801,
Iretama (PR),2776,0.676,1707,0.696,3571,0.521,2611,0.811,
São Cristovão do Sul (SC),2776,0.674,2490,0.667,3137,0.543,2562,0.812,
Quevedos (RS),2776,0.665,2490,0.667,3300,0.534,1951,0.824,
Coronel Bicaco (RS),2776,0.665,2490,0.667,2988,0.55,2990,0.803,
São João do Caiuá (PR),2802,0.671,2212,0.678,2967,0.551,3649,0.785,
Tibagi (PR),2802,0.676,2212,0.678,3618,0.519,1560,0.832,
Cruz Machado (PR),2802,0.675,3095,0.635,3100,0.545,943,0.845,
Painel (SC),2802,0.673,2466,0.668,3137,0.543,2754,0.808,
Itapuca (RS),2802,0.664,1318,0.709,4066,0.495,1464,0.834,
São Pedro das Missões (RS),2802,0.664,2952,0.644,2654,0.566,2940,0.804,
Mostardas (RS),2802,0.664,1547,0.701,4095,0.493,759,0.849,
Sengés (PR),2828,0.672,2685,0.658,3078,0.546,2611,0.811,
Floriano Peixoto (RS),2828,0.663,1547,0.701,4231,0.486,581,0.854,
São José dos Ausentes (RS),2828,0.663,2318,0.674,3183,0.541,3077,0.801,
Novo Machado (RS),2828,0.663,2318,0.674,3137,0.543,3292,0.796,
Santa Margarida do Sul (RS),2828,0.663,1858,0.691,4259,0.484,204,0.87,
Rosário do Ivaí (PR),2846,0.668,3048,0.638,2399,0.577,3570,0.788,
Macieira (SC),2846,0.671,2295,0.675,3328,0.533,2849,0.806,
Vila Nova do Sul (RS),2846,0.662,2924,0.645,3122,0.544,1798,0.827,
Jacuizinho (RS),2846,0.662,817,0.73,4216,0.487,2307,0.817,
Três Forquilhas (RS),2846,0.662,2626,0.661,3223,0.539,2504,0.813,
Barra do Quaraí (RS),2846,0.662,2667,0.659,3029,0.548,3026,0.802,
Cacique Doble (RS),2846,0.662,2230,0.677,3419,0.528,2661,0.81,
Brunópolis (SC),2870,0.670,2908,0.646,3100,0.545,2216,0.819,
Pinheiro Machado (RS),2870,0.661,2020,0.685,3988,0.499,901,0.846,
Fontoura Xavier (RS),2870,0.661,2466,0.668,3348,0.532,2562,0.812,
Riozinho (RS),2870,0.661,1890,0.69,4487,0.472,40,0.885,
Cerro Branco (RS),2870,0.661,2405,0.671,3434,0.527,2357,0.816,
Capela de Santana (RS),2870,0.661,2295,0.675,3480,0.525,2357,0.816,
Pantano Grande (RS),2870,0.661,2266,0.676,3502,0.524,2357,0.816,
Esperança do Sul (RS),2870,0.661,2535,0.665,2988,0.55,3570,0.788,
Palmas (PR),2898,0.673,1967,0.687,3883,0.505,1798,0.827,
Imbituva (PR),2898,0.673,2119,0.681,3814,0.509,1747,0.828,
Agudos do Sul (PR),2898,0.668,2405,0.671,3137,0.543,3511,0.790,
Ipuaçu (SC),2898,0.668,2318,0.674,3207,0.540,3511,0.790,
Cerro Grande do Sul (RS),2898,0.66,2343,0.673,3988,0.499,551,0.855,
Cristal do Sul (RS),2898,0.66,3000,0.641,3163,0.542,1846,0.826,
Passos Maia (SC),2924,0.668,2871,0.648,3053,0.547,2754,0.808,
Timbó Grande (SC),2924,0.666,3109,0.634,2671,0.565,3214,0.798,
Segredo (RS),2924,0.659,2343,0.673,3480,0.525,2611,0.811,
Grandes Rios (PR),2946,0.666,2861,0.649,2988,0.550,3167,0.799,
Nova Cantu (PR),2946,0.665,2908,0.646,2816,0.558,3428,0.792,
Piratini (RS),2946,0.658,2375,0.672,3658,0.517,2112,0.821,
Jaboticaba (RS),2946,0.658,3079,0.636,3053,0.547,2161,0.82,
Entre Rios (SC),2964,0.665,3048,0.638,2988,0.550,2754,0.808,
Matos Costa (SC),2964,0.667,3173,0.630,3183,0.541,1603,0.831,
Encruzilhada do Sul (RS),2964,0.657,2230,0.677,4373,0.478,128,0.875,
Tunas (RS),2964,0.657,2667,0.659,3183,0.541,3362,0.794,
Arroio Grande (RS),2964,0.657,2343,0.673,3549,0.522,2805,0.807,
Itacurubi (RS),2964,0.657,1817,0.692,3814,0.509,2940,0.804,
Itaúna do Sul (PR),2986,0.664,2822,0.651,3137,0.543,3214,0.798,
Curiúva (PR),2986,0.663,2861,0.649,3078,0.546,3329,0.795,
Antônio Olinto (PR),2986,0.666,3235,0.626,3053,0.547,1905,0.825,
Mata (RS),2986,0.656,2647,0.66,3402,0.529,2805,0.807,
Rio dos Índios (RS),2986,0.656,2924,0.645,3100,0.545,2940,0.804,
Tavares (RS),2986,0.656,1817,0.692,4116,0.492,1747,0.828,
Sapopema (PR),3008,0.666,1741,0.695,3814,0.509,3329,0.795,
Mandirituba (PR),3008,0.666,2230,0.677,3696,0.515,2805,0.807,
Boa Ventura de São Roque (PR),3008,0.663,3095,0.635,2924,0.553,3026,0.802,
Vitória das Missões (RS),3008,0.655,2667,0.659,3458,0.526,2696,0.809,
Manoel Viana (RS),3008,0.655,1996,0.686,3300,0.534,4272,0.766,
Pinhão (PR),3030,0.663,2861,0.649,3300,0.534,2849,0.806,
Capão Alto (SC),3030,0.664,2149,0.680,3675,0.516,3292,0.796,
Saltinho (SC),3030,0.662,3034,0.639,2967,0.551,3329,0.795,
Dezesseis de Novembro (RS),3030,0.654,3247,0.625,2924,0.553,2696,0.809,
Santa Amélia (PR),3055,0.663,2747,0.655,3458,0.526,2696,0.809,
Rio Rufino (SC),3055,0.663,2807,0.652,3388,0.530,2849,0.806,
Ipiranga (PR),3070,0.667,2035,0.684,4183,0.489,1747,0.828,
Mauá da Serra (PR),3070,0.661,2626,0.661,3402,0.529,3400,0.793,
General Carneiro (PR),3070,0.662,3048,0.638,3348,0.532,2357,0.816,
Caraá (RS),3070,0.652,2626,0.661,3883,0.505,1647,0.83,
São Martinho da Serra (RS),3070,0.652,2667,0.659,4047,0.496,792,0.848,
Ibarama (RS),3070,0.652,1996,0.686,3774,0.511,3428,0.792,
Sério (RS),3070,0.652,1741,0.695,4502,0.471,846,0.847,
Ivaí (PR),3090,0.660,2767,0.654,3300,0.534,3475,0.791,
Nova Tebas (PR),3090,0.658,3140,0.632,2924,0.553,3570,0.788,
São José das Missões (RS),3090,0.651,2807,0.652,3163,0.542,3704,0.782,
Ventania (PR),3115,0.658,3120,0.633,3137,0.543,3214,0.798,
Canguçu (RS),3115,0.65,2061,0.683,4143,0.491,2216,0.819,
Monte Alegre dos Campos (RS),3115,0.65,2490,0.667,3961,0.501,2064,0.822,
Barros Cassal (RS),3115,0.65,1890,0.69,3979,0.5,3329,0.795,
Pinhal da Serra (RS),3115,0.65,3000,0.641,3737,0.513,1419,0.835,
Lebon Régis (SC),3136,0.658,3140,0.632,3249,0.537,2849,0.806,
Mampituba (RS),3136,0.649,2842,0.65,3658,0.517,2504,0.813,
Cerrito (RS),3136,0.649,2709,0.657,3908,0.504,1951,0.824,
Unistalda (RS),3136,0.649,3235,0.626,3163,0.542,2940,0.804,
Reserva do Iguaçu (PR),3156,0.659,3079,0.636,3571,0.521,2161,0.820,
Dilermando de Aguiar (RS),3156,0.648,2119,0.681,4631,0.463,319,0.864,
Bocaina do Sul (SC),3172,0.653,2984,0.642,3011,0.549,4204,0.768,
Vale Verde (RS),3186,0.646,2513,0.666,4026,0.497,2357,0.816,
Foz do Jordão (PR),3201,0.659,2767,0.654,4047,0.496,1747,0.828,
Fernandes Pinheiro (PR),3201,0.654,2883,0.647,3480,0.525,3475,0.791,
Manfrinópolis (PR),3201,0.656,2984,0.642,3593,0.520,2899,0.805,
São Nicolau (RS),3201,0.645,2685,0.658,3522,0.523,3831,0.778,
Diamante D'Oeste (PR),3222,0.652,2883,0.647,3348,0.532,3897,0.776,
Cristal (RS),3222,0.644,1967,0.687,4502,0.471,1846,0.826,
Monte Carlo (SC),3234,0.654,2871,0.648,3774,0.511,2940,0.804,
Hulha Negra (RS),3234,0.643,2789,0.653,3753,0.512,3292,0.796,
Lagoão (RS),3234,0.643,3000,0.641,3883,0.505,2064,0.822,
Nova Laranjeiras (PR),3254,0.655,3419,0.614,3658,0.517,1515,0.833,
São Valério do Sul (RS),3254,0.642,2318,0.674,4332,0.48,2357,0.816,
Goioxim (PR),3275,0.651,3734,0.593,3053,0.547,2504,0.813,
Campo Belo do Sul (SC),3275,0.648,2871,0.648,3419,0.528,4204,0.768,
Bocaiúva do Sul (PR),3291,0.656,2182,0.679,4463,0.473,2357,0.816,
Rio Branco do Ivaí (PR),3291,0.648,3261,0.624,3249,0.537,3690,0.783,
Pedras Altas (RS),3291,0.64,2883,0.647,4095,0.493,2161,0.82,
Mariluz (PR),3312,0.650,2789,0.653,3908,0.504,3362,0.794,
Palmital (PR),3312,0.650,2883,0.647,3774,0.511,3475,0.791,
Corumbataí do Sul (PR),3333,0.647,3140,0.632,3593,0.520,3511,0.790,
Vicente Dutra (RS),3333,0.638,2732,0.656,4183,0.489,2696,0.809,
Ibirapuitã (RS),3333,0.638,2212,0.678,4631,0.463,1747,0.828,
Itaperuçu (PR),3357,0.647,2767,0.654,3847,0.507,3775,0.779,
São Jerônimo da Serra (PR),3357,0.650,3235,0.626,3925,0.503,2064,0.822,
Capão do Leão (RS),3357,0.637,2613,0.662,4332,0.48,2453,0.814,
Capão Bonito do Sul (RS),3357,0.637,2767,0.654,3847,0.507,3775,0.779,
Tijucas do Sul (PR),3378,0.650,2182,0.679,4351,0.479,3428,0.792,
Espigão Alto do Iguaçu (PR),3378,0.645,3140,0.632,3571,0.521,3726,0.781,
São José do Cerrito (SC),3378,0.649,3354,0.618,3925,0.503,1798,0.827,
Candói (PR),3393,0.645,2747,0.655,3925,0.503,3831,0.778,
Cantagalo (PR),3393,0.643,3048,0.638,3549,0.522,4204,0.768,
Gramado Xavier (RS),3407,0.634,2119,0.681,4463,0.473,3428,0.792,
Santana da Boa Vista (RS),3433,0.633,3173,0.63,3925,0.503,3026,0.802,
Mato Rico (PR),3448,0.643,3980,0.580,3270,0.536,2562,0.812,
Sinimbu (RS),3469,0.631,1678,0.697,4742,0.456,3428,0.792,
Redentora (RS),3469,0.631,3538,0.606,3522,0.523,3428,0.792,
Jari (RS),3469,0.631,3079,0.636,4463,0.473,1370,0.836,
Ramilândia (PR),3487,0.643,3034,0.639,4183,0.489,3026,0.802,
Campina do Simão (PR),3487,0.639,3649,0.598,3434,0.527,3428,0.792,
São João do Triunfo (PR),3501,0.644,2747,0.655,4430,0.475,3077,0.801,
Cândido de Abreu (PR),3501,0.640,2971,0.643,4081,0.494,3690,0.783,
Rio Bonito do Iguaçu (PR),3501,0.640,3155,0.631,4007,0.498,3428,0.792,
Vargem (SC),3501,0.640,3079,0.636,4066,0.495,3511,0.790,
Turuçu (RS),3501,0.629,2020,0.685,4887,0.446,2453,0.814,
Vale do Sol (RS),3607,0.624,2119,0.681,4964,0.439,2504,0.813,
Amaral Ferrador (RS),3607,0.624,2562,0.664,4733,0.457,3026,0.802,
São José do Norte (RS),3631,0.623,2592,0.663,4672,0.461,3428,0.792,
Imbaú (PR),3653,0.634,3079,0.636,4306,0.481,3649,0.785,
Calmon (SC),3653,0.632,3354,0.618,3979,0.500,3775,0.779,
Passa Sete (RS),3653,0.622,3034,0.639,4284,0.482,3704,0.782,
Tamarana (PR),3680,0.639,3204,0.628,4693,0.460,1704,0.829,
Cerro Negro (SC),3680,0.639,3109,0.634,4758,0.455,1704,0.829,
Charrua (RS),3702,0.62,1605,0.699,5411,0.385,40,0.885,
Benjamin Constant do Sul (RS),3721,0.619,3607,0.601,4116,0.492,3077,0.801,
Reserva (PR),3735,0.632,2842,0.650,4672,0.461,3629,0.786,
Chuvisca (RS),3771,0.616,2747,0.655,4988,0.437,2259,0.818,
Herveiras (RS),3771,0.616,2428,0.67,4948,0.441,3428,0.792,
Marquinho (PR),3820,0.631,3403,0.615,4631,0.463,2453,0.814,
Jaquirana (RS),3820,0.614,3235,0.626,4430,0.475,3775,0.779,
Lajeado do Bugre (RS),3847,0.613,3562,0.604,4599,0.465,2064,0.822,
Tunas do Paraná (PR),3884,0.629,3000,0.641,4909,0.444,3077,0.801,
Barão do Triunfo (RS),3902,0.61,2924,0.645,5104,0.428,2112,0.821,
Ortigueira (PR),3927,0.628,3140,0.632,4948,0.441,2611,0.811,
Santa Maria do Oeste (PR),3927,0.622,3623,0.600,4390,0.477,3511,0.790,
Diamante do Sul (PR),3957,0.620,3550,0.605,4351,0.479,3871,0.777,
Inácio Martins (PR),4144,0.614,3279,0.623,4774,0.454,4304,0.765,
Coronel Domingos Soares (PR),4144,0.616,3492,0.609,4874,0.447,3428,0.792,
Guaraqueçaba (PR),4467,0.604,3834,0.587,5031,0.434,3428,0.792,
Dom Feliciano (RS),4467,0.587,3120,0.633,5392,0.39,2259,0.818,
Laranjal (PR),4515,0.602,3955,0.581,4999,0.436,3511,0.790,
Cerro Azul (PR),4786,0.597,3562,0.604,5384,0.391,3252,0.797,
Doutor Ulysses (PR),5253,0.574,4201,0.570,5490,0.362,3475,0.791,
